class,count
org.apache.derby.client.ClientAutoloadedDriver,1
org.apache.derby.client.am.BlobLocatorInputStream,1
org.apache.derby.client.am.BlobLocatorOutputStream,1
org.apache.derby.client.am.BlobOutputStream,1
org.apache.derby.client.am.ByteArrayCombinerStream,1
org.apache.derby.client.am.ClientBlob,1
org.apache.derby.client.am.ClientDatabaseMetaData,1
org.apache.derby.client.am.ClientParameterMetaData,1
org.apache.derby.client.am.ClobLocatorOutputStream,1
org.apache.derby.client.am.ClobLocatorReader,1
org.apache.derby.client.am.ClobLocatorWriter,1
org.apache.derby.client.am.ClobOutputStream,1
org.apache.derby.client.am.ClobWriter,1
org.apache.derby.client.am.Configuration,1
org.apache.derby.client.am.LogicalDatabaseMetaData,1
org.apache.derby.client.am.LogicalStatementEntity,1
org.apache.derby.client.am.ProductLevel,1
org.apache.derby.client.am.SQLExceptionFactory,1
org.apache.derby.client.am.SqlWarning,1
org.apache.derby.client.net.NetLogWriter,1
org.apache.derby.client.net.NetXAConnectionRequest,1
org.apache.derby.client.net.Request,1
org.apache.derby.diag.SpaceTable,1
org.apache.derby.diag.TransactionTable,1
org.apache.derby.drda.NetServlet,1
org.apache.derby.iapi.db.ConsistencyChecker,1
org.apache.derby.iapi.db.Database,1
org.apache.derby.iapi.jdbc.BrokeredPreparedStatement,1
org.apache.derby.iapi.jdbc.InternalDriver$LoginCallable,1
org.apache.derby.iapi.services.cache.ClassSize,1
org.apache.derby.iapi.services.classfile.AttributeEntry,1
org.apache.derby.iapi.services.classfile.Attributes,1
org.apache.derby.iapi.services.classfile.ClassEnumeration,1
org.apache.derby.iapi.services.classfile.ClassHolder,1
org.apache.derby.iapi.services.classfile.ClassInvestigator,1
org.apache.derby.iapi.services.classfile.MemberTableHash,1
org.apache.derby.iapi.services.context.ContextImpl,1
org.apache.derby.iapi.services.context.ContextService$1,1
org.apache.derby.iapi.services.io.AccessibleByteArrayOutputStream,1
org.apache.derby.iapi.services.io.ArrayOutputStream,1
org.apache.derby.iapi.services.io.CounterOutputStream,1
org.apache.derby.iapi.services.io.FormatIdInputStream,1
org.apache.derby.iapi.services.memory.LowMemory,1
org.apache.derby.iapi.sql.compile.ScopeFilter,1
org.apache.derby.iapi.sql.dictionary.ConglomerateDescriptor,1
org.apache.derby.iapi.sql.dictionary.ConstraintDescriptorList,1
org.apache.derby.iapi.sql.dictionary.DataDescriptorGenerator,1
org.apache.derby.iapi.sql.dictionary.ForeignKeyConstraintDescriptor,1
org.apache.derby.iapi.sql.dictionary.GenericDescriptorList,1
org.apache.derby.iapi.sql.dictionary.IndexLister,1
org.apache.derby.iapi.sql.dictionary.KeyConstraintDescriptor,1
org.apache.derby.iapi.sql.dictionary.PasswordHasher,1
org.apache.derby.iapi.sql.dictionary.StatementPermission,1
org.apache.derby.iapi.sql.dictionary.StatementTablePermission,1
org.apache.derby.iapi.sql.dictionary.TupleDescriptor,1
org.apache.derby.iapi.sql.execute.ExecRowBuilder,1
org.apache.derby.iapi.store.access.DiskHashtable$ElementEnum,1
org.apache.derby.iapi.store.raw.xact.RawTransaction,1
org.apache.derby.iapi.tools.i18n.LocalizedInput,1
org.apache.derby.iapi.types.CollatorSQLChar,1
org.apache.derby.iapi.types.CollatorSQLClob,1
org.apache.derby.iapi.types.CollatorSQLLongvarchar,1
org.apache.derby.iapi.types.CollatorSQLVarchar,1
org.apache.derby.iapi.types.DataType,1
org.apache.derby.iapi.types.DataValueFactoryImpl,1
org.apache.derby.iapi.types.NumberDataType,1
org.apache.derby.iapi.types.SQLBit,1
