class,method,count
org.apache.tools.ant.taskdefs.JDBCTask,setClasspath,1
org.apache.tools.ant.taskdefs.Jar,getIndexJarsMapper,1
org.apache.tools.ant.taskdefs.Jar,addConfiguredManifest,1
org.apache.tools.ant.taskdefs.Jar,setFilesetmanifest,1
org.apache.tools.ant.taskdefs.Jar,setStrict,1
org.apache.tools.ant.taskdefs.Jar$StrictMode,&lt;init&gt;,1
org.apache.tools.ant.taskdefs.Java,createPermissions,1
org.apache.tools.ant.taskdefs.Java,getCommandLine,1
org.apache.tools.ant.taskdefs.Java,addConfiguredRedirector,1
org.apache.tools.ant.taskdefs.Javac,getBootclasspath,1
org.apache.tools.ant.taskdefs.Javac,getClasspath,1
org.apache.tools.ant.taskdefs.Javac,getExtdirs,1
org.apache.tools.ant.taskdefs.Javac,getFileList,1
org.apache.tools.ant.taskdefs.Javac,getModulepath,1
org.apache.tools.ant.taskdefs.Javac,getModulesourcepath,1
org.apache.tools.ant.taskdefs.Javac,getSourcepath,1
org.apache.tools.ant.taskdefs.Javac,getSrcdir,1
org.apache.tools.ant.taskdefs.Javac,getUpgrademodulepath,1
org.apache.tools.ant.taskdefs.Javac,add,1
org.apache.tools.ant.taskdefs.Javac,setBootclasspath,1
org.apache.tools.ant.taskdefs.Javac,setClasspath,1
org.apache.tools.ant.taskdefs.Javac,setExtdirs,1
org.apache.tools.ant.taskdefs.Javac,setModulepath,1
org.apache.tools.ant.taskdefs.Javac,setModulesourcepath,1
org.apache.tools.ant.taskdefs.Javac,setSourcepath,1
org.apache.tools.ant.taskdefs.Javac,setSrcdir,1
org.apache.tools.ant.taskdefs.Javac,setUpgrademodulepath,1
org.apache.tools.ant.taskdefs.Javac,findModules,1
org.apache.tools.ant.taskdefs.Javac,generateMissingPackageInfoClasses,1
org.apache.tools.ant.taskdefs.Javac,resolveGroup,1
org.apache.tools.ant.taskdefs.Javac$ImplementationSpecificArgument,&lt;init&gt;,1
org.apache.tools.ant.taskdefs.Javac$ImplementationSpecificArgument,NOVALUE,1
org.apache.tools.ant.taskdefs.Javadoc,doTags,1
org.apache.tools.ant.taskdefs.Javadoc,createDoclet,1
org.apache.tools.ant.taskdefs.Javadoc,createSourceFiles,1
org.apache.tools.ant.taskdefs.Javadoc,addBottom,1
org.apache.tools.ant.taskdefs.Javadoc,addDoctitle,1
org.apache.tools.ant.taskdefs.Javadoc,addFooter,1
org.apache.tools.ant.taskdefs.Javadoc,addHeader,1
org.apache.tools.ant.taskdefs.Javadoc,setBootclasspath,1
org.apache.tools.ant.taskdefs.Javadoc,setClasspath,1
org.apache.tools.ant.taskdefs.Javadoc,setModulePath,1
org.apache.tools.ant.taskdefs.Javadoc,setModuleSourcePath,1
org.apache.tools.ant.taskdefs.Javadoc,setSourcepath,1
org.apache.tools.ant.taskdefs.Javadoc,parsePackages,1
org.apache.tools.ant.taskdefs.Javadoc$DocletInfo,&lt;init&gt;,1
org.apache.tools.ant.taskdefs.Javadoc$DocletParam,&lt;init&gt;,1
org.apache.tools.ant.taskdefs.Javadoc$DocletParam,NOVALUE,1
org.apache.tools.ant.taskdefs.Javadoc$ExtensionInfo,getPath,1
org.apache.tools.ant.taskdefs.Javadoc$ExtensionInfo,setPath,1
org.apache.tools.ant.taskdefs.Javadoc$GroupArgument,&lt;init&gt;,1
org.apache.tools.ant.taskdefs.Javadoc$GroupArgument,addTitle,1
org.apache.tools.ant.taskdefs.Javadoc$GroupArgument,NOVALUE,1
org.apache.tools.ant.taskdefs.Javadoc$Html,getText,1
org.apache.tools.ant.taskdefs.Javadoc$LinkArgument,&lt;init&gt;,1
