class,method_name,count
org.apache.maven.api.model.MailingList,getOtherArchives,1
org.apache.maven.api.model.MailingList$Builder,otherArchives,1
org.apache.maven.api.model.MailingList$Builder,&lt;init&gt;,1
org.apache.maven.api.model.Model,getContributors,1
org.apache.maven.api.model.Model,getDevelopers,1
org.apache.maven.api.model.Model,getLicenses,1
org.apache.maven.api.model.Model,getMailingLists,1
org.apache.maven.api.model.Model,getProfiles,1
org.apache.maven.api.model.Model,NOVALUE,1
org.apache.maven.api.model.Model$Builder,contributors,1
org.apache.maven.api.model.Model$Builder,dependencies,1
org.apache.maven.api.model.Model$Builder,developers,1
org.apache.maven.api.model.Model$Builder,licenses,1
org.apache.maven.api.model.Model$Builder,mailingLists,1
org.apache.maven.api.model.Model$Builder,modules,1
org.apache.maven.api.model.Model$Builder,pluginRepositories,1
org.apache.maven.api.model.Model$Builder,profiles,1
org.apache.maven.api.model.Model$Builder,properties,1
org.apache.maven.api.model.Model$Builder,repositories,1
org.apache.maven.api.model.ModelBase,getDependencies,1
org.apache.maven.api.model.ModelBase,getModules,1
org.apache.maven.api.model.ModelBase,getPluginRepositories,1
org.apache.maven.api.model.ModelBase,getProperties,1
org.apache.maven.api.model.ModelBase,getRepositories,1
org.apache.maven.api.model.ModelBase$Builder,dependencies,1
org.apache.maven.api.model.ModelBase$Builder,modules,1
org.apache.maven.api.model.ModelBase$Builder,pluginRepositories,1
org.apache.maven.api.model.ModelBase$Builder,properties,1
org.apache.maven.api.model.ModelBase$Builder,repositories,1
org.apache.maven.api.model.ModelBase$Builder,&lt;init&gt;,1
org.apache.maven.api.model.Notifier,getConfiguration,1
org.apache.maven.api.model.Notifier$Builder,configuration,1
org.apache.maven.api.model.Organization$Builder,&lt;init&gt;,1
org.apache.maven.api.model.PatternSet,getExcludes,1
org.apache.maven.api.model.PatternSet,getIncludes,1
org.apache.maven.api.model.PatternSet$Builder,excludes,1
org.apache.maven.api.model.PatternSet$Builder,includes,1
org.apache.maven.api.model.PatternSet$Builder,&lt;init&gt;,1
org.apache.maven.api.model.Plugin,getDependencies,1
org.apache.maven.api.model.Plugin,getExecutions,1
org.apache.maven.api.model.Plugin$Builder,dependencies,1
org.apache.maven.api.model.Plugin$Builder,executions,1
org.apache.maven.api.model.PluginConfiguration$Builder,plugins,1
org.apache.maven.api.model.PluginConfiguration$Builder,&lt;init&gt;,1
org.apache.maven.api.model.PluginContainer,getPlugins,1
org.apache.maven.api.model.PluginContainer,getPluginsAsMap,1
org.apache.maven.api.model.PluginContainer$Builder,plugins,1
org.apache.maven.api.model.PluginContainer$Builder,&lt;init&gt;,1
org.apache.maven.api.model.PluginExecution,getGoals,1
org.apache.maven.api.model.PluginExecution$Builder,goals,1
org.apache.maven.api.model.PluginManagement$Builder,plugins,1
org.apache.maven.api.model.PluginManagement$Builder,&lt;init&gt;,1
org.apache.maven.api.model.Profile$Builder,dependencies,1
org.apache.maven.api.model.Profile$Builder,modules,1
org.apache.maven.api.model.Profile$Builder,pluginRepositories,1
org.apache.maven.api.model.Profile$Builder,properties,1
org.apache.maven.api.model.Profile$Builder,repositories,1
org.apache.maven.api.model.Relocation$Builder,&lt;init&gt;,1
org.apache.maven.api.model.ReportPlugin,getReportSets,1
org.apache.maven.api.model.ReportPlugin,getReportSetsAsMap,1
org.apache.maven.api.model.ReportPlugin$Builder,reportSets,1
org.apache.maven.api.model.ReportSet,getReports,1
org.apache.maven.api.model.ReportSet$Builder,reports,1
org.apache.maven.api.model.Reporting,getPlugins,1
org.apache.maven.api.model.Reporting$Builder,plugins,1
org.apache.maven.api.model.Reporting$Builder,&lt;init&gt;,1
org.apache.maven.api.model.Repository,equals,1
org.apache.maven.api.model.Repository$Builder,&lt;init&gt;,1
org.apache.maven.api.model.RepositoryPolicy$Builder,&lt;init&gt;,1
org.apache.maven.api.model.Resource$Builder,excludes,1
org.apache.maven.api.model.Resource$Builder,includes,1
org.apache.maven.api.model.Resource$Builder,&lt;init&gt;,1
org.apache.maven.api.model.Site$Builder,&lt;init&gt;,1
org.apache.maven.api.plugin.descriptor.MojoDescriptor,getParameters,1
org.apache.maven.api.plugin.descriptor.MojoDescriptor$Builder,parameters,1
org.apache.maven.api.plugin.descriptor.PluginDescriptor,getMojos,1
org.apache.maven.api.plugin.descriptor.PluginDescriptor$Builder,mojos,1
org.apache.maven.api.plugin.descriptor.Requirement$Builder,&lt;init&gt;,1
org.apache.maven.api.plugin.descriptor.lifecycle.Execution,getGoals,1
org.apache.maven.api.plugin.descriptor.lifecycle.Execution$Builder,goals,1
org.apache.maven.api.plugin.descriptor.lifecycle.Execution$Builder,&lt;init&gt;,1
