class,count
org.apache.maven.lifecycle.internal.TaskSegment,1
org.apache.maven.lifecycle.internal.builder.BuilderCommon,1
org.apache.maven.lifecycle.internal.builder.multithreaded.ThreadOutputMuxer$ThreadBoundPrintStream,1
org.apache.maven.lifecycle.internal.builder.singlethreaded.SingleThreadedBuilder,1
org.apache.maven.logwrapper.LogLevelRecorder,1
org.apache.maven.model.DeploymentRepository,1
org.apache.maven.model.Resource,1
org.apache.maven.model.building.ArtifactModelSource,1
org.apache.maven.model.building.FileModelSource,1
org.apache.maven.model.building.ModelBuildingException,1
org.apache.maven.model.interpolation.StringSearchModelInterpolator$InterpolateObjectAction$CacheItem,1
org.apache.maven.model.io.DefaultModelWriter,1
org.apache.maven.plugin.internal.DefaultPluginManager,1
org.apache.maven.plugin.prefix.NoPluginFoundForPrefixException,1
org.apache.maven.project.DefaultMavenProjectHelper,1
org.apache.maven.project.DefaultModelBuildingListener,1
org.apache.maven.project.DefaultProjectBuilder,1
org.apache.maven.project.interpolation.BuildTimestampValueSource,1
