class,method,count
org.apache.maven.execution.MavenSession,getCurrentProject,1
org.apache.maven.execution.MavenSession,getExecutionProperties,1
org.apache.maven.execution.MavenSession,getProjectMap,1
org.apache.maven.execution.MavenSession,getProjects,1
org.apache.maven.execution.MavenSession,getRequest,1
org.apache.maven.execution.MavenSession,getResult,1
org.apache.maven.execution.MavenSession,getSettings,1
org.apache.maven.execution.MavenSession,getTopLevelProject,1
org.apache.maven.execution.MavenSession,setAllProjects,1
org.apache.maven.execution.MavenSession,setCurrentProject,1
org.apache.maven.execution.MavenSession,setProjectMap,1
org.apache.maven.execution.MavenSession,setProjects,1
org.apache.maven.execution.MojoExecutionEvent,getCause,1
org.apache.maven.execution.MojoExecutionEvent,getExecution,1
org.apache.maven.execution.MojoExecutionEvent,getMojo,1
org.apache.maven.execution.MojoExecutionEvent,getProject,1
org.apache.maven.execution.MojoExecutionEvent,getSession,1
org.apache.maven.execution.ProjectExecutionEvent,getCause,1
org.apache.maven.execution.ProjectExecutionEvent,getExecutionPlan,1
org.apache.maven.execution.ProjectExecutionEvent,getProject,1
org.apache.maven.execution.ProjectExecutionEvent,getSession,1
org.apache.maven.execution.SettingsAdapter,NOVALUE,1
org.apache.maven.graph.DefaultGraphBuilder,&lt;init&gt;,1
org.apache.maven.lifecycle.DefaultLifecycles,&lt;init&gt;,1
org.apache.maven.lifecycle.DefaultLifecycles,NOVALUE,1
org.apache.maven.lifecycle.Lifecycle,getDefaultLifecyclePhases,1
org.apache.maven.lifecycle.Lifecycle,getPhases,1
org.apache.maven.lifecycle.LifecycleExecutionException,getProject,1
org.apache.maven.lifecycle.MavenExecutionPlan,&lt;init&gt;,1
org.apache.maven.lifecycle.internal.DependencyContext,getProject,1
org.apache.maven.lifecycle.internal.DependencyContext,getScopesToCollectForAggregatedProjects,1
org.apache.maven.lifecycle.internal.DependencyContext,getScopesToCollectForCurrentProject,1
org.apache.maven.lifecycle.internal.DependencyContext,getScopesToResolveForAggregatedProjects,1
org.apache.maven.lifecycle.internal.DependencyContext,getScopesToResolveForCurrentProject,1
org.apache.maven.lifecycle.internal.ExecutionPlanItem,getMojoExecution,1
org.apache.maven.lifecycle.internal.ExecutionPlanItem,&lt;init&gt;,1
org.apache.maven.lifecycle.internal.LifecycleDependencyResolver,resolveProjectDependencies,1
org.apache.maven.lifecycle.internal.LifecycleStarter,execute,1
org.apache.maven.lifecycle.internal.MojoDescriptorCreator,getMojoDescriptor,1
org.apache.maven.lifecycle.internal.PhaseRecorder,&lt;init&gt;,1
org.apache.maven.lifecycle.internal.ProjectIndex,getIndices,1
org.apache.maven.lifecycle.internal.ProjectIndex,getProjects,1
org.apache.maven.lifecycle.internal.ProjectSegment,getImmediateUpstreamProjects,1
org.apache.maven.lifecycle.internal.ProjectSegment,getProject,1
org.apache.maven.lifecycle.internal.ProjectSegment,getSession,1
org.apache.maven.lifecycle.internal.ProjectSegment,getTransitiveUpstreamProjects,1
org.apache.maven.lifecycle.internal.ReactorContext,getResult,1
org.apache.maven.lifecycle.internal.ReactorContext,&lt;init&gt;,1
org.apache.maven.lifecycle.internal.TaskSegment,getTasks,1
org.apache.maven.lifecycle.internal.builder.BuilderCommon,&lt;init&gt;,1
org.apache.maven.lifecycle.internal.builder.multithreaded.ThreadOutputMuxer,setThisModuleComplete,1
org.apache.maven.lifecycle.internal.builder.multithreaded.ThreadOutputMuxer$ThreadBoundPrintStream,&lt;init&gt;,1
org.apache.maven.lifecycle.internal.builder.singlethreaded.SingleThreadedBuilder,&lt;init&gt;,1
org.apache.maven.lifecycle.mapping.DefaultLifecycleMapping,getLifecycles,1
org.apache.maven.lifecycle.mapping.Lifecycle,getLifecyclePhases,1
org.apache.maven.lifecycle.mapping.Lifecycle,setLifecyclePhases,1
org.apache.maven.lifecycle.mapping.LifecycleMojo,getDependencies,1
org.apache.maven.lifecycle.mapping.LifecycleMojo,setDependencies,1
org.apache.maven.lifecycle.mapping.LifecyclePhase,getMojos,1
org.apache.maven.lifecycle.mapping.LifecyclePhase,setMojos,1
org.apache.maven.logwrapper.LogLevelRecorder,&lt;init&gt;,1
org.apache.maven.model.Activation,getFile,1
org.apache.maven.model.Activation,getOs,1
org.apache.maven.model.Activation,getProperty,1
org.apache.maven.model.Activation,setFile,1
org.apache.maven.model.Activation,setOs,1
org.apache.maven.model.Activation,setProperty,1
org.apache.maven.model.Build,getExtensions,1
org.apache.maven.model.Build,setExtensions,1
org.apache.maven.model.BuildBase,getFilters,1
org.apache.maven.model.BuildBase,getResources,1
org.apache.maven.model.BuildBase,getTestResources,1
org.apache.maven.model.BuildBase,setFilters,1
org.apache.maven.model.BuildBase,setResources,1
org.apache.maven.model.BuildBase,setTestResources,1
org.apache.maven.model.CiManagement,getNotifiers,1
org.apache.maven.model.CiManagement,setNotifiers,1
org.apache.maven.model.Contributor,getProperties,1
org.apache.maven.model.Contributor,getRoles,1
org.apache.maven.model.Contributor,setProperties,1
org.apache.maven.model.Contributor,setRoles,1
org.apache.maven.model.Dependency,getExclusions,1
org.apache.maven.model.Dependency,setExclusions,1
org.apache.maven.model.DependencyManagement,getDependencies,1
org.apache.maven.model.DependencyManagement,setDependencies,1
org.apache.maven.model.DeploymentRepository,equals,1
org.apache.maven.model.DistributionManagement,getRelocation,1
org.apache.maven.model.DistributionManagement,getRepository,1
org.apache.maven.model.DistributionManagement,getSite,1
org.apache.maven.model.DistributionManagement,getSnapshotRepository,1
org.apache.maven.model.DistributionManagement,setRelocation,1
org.apache.maven.model.DistributionManagement,setRepository,1
org.apache.maven.model.DistributionManagement,setSite,1
org.apache.maven.model.DistributionManagement,setSnapshotRepository,1
org.apache.maven.model.InputLocation,getLocation,1
org.apache.maven.model.InputLocation,getLocations,1
org.apache.maven.model.InputLocation,getSource,1
org.apache.maven.model.InputLocation,&lt;init&gt;,1
org.apache.maven.model.InputLocation,setLocation,1
org.apache.maven.model.InputLocation,setLocations,1
org.apache.maven.model.MailingList,getOtherArchives,1
org.apache.maven.model.MailingList,setOtherArchives,1
org.apache.maven.model.Model,getBuild,1
org.apache.maven.model.Model,getCiManagement,1
org.apache.maven.model.Model,getContributors,1
org.apache.maven.model.Model,getDevelopers,1
org.apache.maven.model.Model,getIssueManagement,1
org.apache.maven.model.Model,getLicenses,1
org.apache.maven.model.Model,getMailingLists,1
org.apache.maven.model.Model,getOrganization,1
org.apache.maven.model.Model,getParent,1
org.apache.maven.model.Model,getPrerequisites,1
org.apache.maven.model.Model,getProfiles,1
org.apache.maven.model.Model,getScm,1
org.apache.maven.model.Model,setBuild,1
org.apache.maven.model.Model,setCiManagement,1
org.apache.maven.model.Model,setContributors,1
org.apache.maven.model.Model,setDevelopers,1
org.apache.maven.model.Model,setIssueManagement,1
org.apache.maven.model.Model,setLicenses,1
org.apache.maven.model.Model,setMailingLists,1
org.apache.maven.model.Model,setOrganization,1
org.apache.maven.model.Model,setParent,1
org.apache.maven.model.Model,setPrerequisites,1
org.apache.maven.model.Model,setProfiles,1
org.apache.maven.model.Model,setScm,1
org.apache.maven.model.ModelBase,getDependencies,1
org.apache.maven.model.ModelBase,getDependencyManagement,1
org.apache.maven.model.ModelBase,getDistributionManagement,1
org.apache.maven.model.ModelBase,getModules,1
org.apache.maven.model.ModelBase,getPluginRepositories,1
org.apache.maven.model.ModelBase,getProperties,1
org.apache.maven.model.ModelBase,getReporting,1
org.apache.maven.model.ModelBase,getRepositories,1
org.apache.maven.model.ModelBase,setDependencies,1
org.apache.maven.model.ModelBase,setDependencyManagement,1
org.apache.maven.model.ModelBase,setDistributionManagement,1
org.apache.maven.model.ModelBase,setModules,1
org.apache.maven.model.ModelBase,setPluginRepositories,1
org.apache.maven.model.ModelBase,setProperties,1
org.apache.maven.model.ModelBase,setReporting,1
org.apache.maven.model.ModelBase,setRepositories,1
org.apache.maven.model.Notifier,getConfiguration,1
org.apache.maven.model.Notifier,setConfiguration,1
org.apache.maven.model.PatternSet,getExcludes,1
org.apache.maven.model.PatternSet,getIncludes,1
org.apache.maven.model.PatternSet,setExcludes,1
org.apache.maven.model.PatternSet,setIncludes,1
org.apache.maven.model.Plugin,getDependencies,1
org.apache.maven.model.Plugin,getExecutions,1
org.apache.maven.model.Plugin,getExecutionsAsMap,1
org.apache.maven.model.Plugin,setDependencies,1
org.apache.maven.model.Plugin,setExecutions,1
org.apache.maven.model.PluginConfiguration,getPluginManagement,1
org.apache.maven.model.PluginConfiguration,setPluginManagement,1
org.apache.maven.model.PluginContainer,getPlugins,1
org.apache.maven.model.PluginContainer,getPluginsAsMap,1
org.apache.maven.model.PluginContainer,setPlugins,1
org.apache.maven.model.PluginExecution,getGoals,1
org.apache.maven.model.PluginExecution,setGoals,1
org.apache.maven.model.Profile,getActivation,1
