class,method_name,count
org.apache.catalina.authenticator.jaspic.SimpleServerAuthContext,&lt;init&gt;,1
org.apache.catalina.connector.Connector,getProtocolHandler,1
org.apache.catalina.connector.Connector,getService,1
org.apache.catalina.connector.Connector,&lt;init&gt;,1
org.apache.catalina.connector.Connector,setService,1
org.apache.catalina.connector.Connector,startInternal,1
org.apache.catalina.connector.CoyoteAdapter,&lt;init&gt;,1
org.apache.catalina.connector.CoyoteOutputStream,handleIOException,1
org.apache.catalina.connector.CoyoteReader,&lt;init&gt;,1
org.apache.catalina.connector.CoyoteReader,readLine,1
org.apache.catalina.connector.CoyoteWriter,&lt;init&gt;,1
org.apache.catalina.connector.InputBuffer,getByteBuffer,1
org.apache.catalina.connector.InputBuffer,&lt;init&gt;,1
org.apache.catalina.connector.InputBuffer,setByteBuffer,1
org.apache.catalina.connector.OutputBuffer,updateBytesWritten,1
org.apache.catalina.connector.OutputBuffer,doFlush,1
org.apache.catalina.connector.OutputBuffer,&lt;init&gt;,1
org.apache.catalina.connector.Request,parseParts,1
org.apache.catalina.connector.Request,convertCookies,1
org.apache.catalina.connector.Request,doParseParameters,1
org.apache.catalina.connector.Request,getAttribute,1
org.apache.catalina.connector.Request,parseLocales,1
org.apache.catalina.connector.Request,setLocalPort,1
org.apache.catalina.connector.Request,setMaxParameterCount,1
org.apache.catalina.connector.Request,setMaxPartCount,1
org.apache.catalina.connector.Request,setMaxPartHeaderSize,1
org.apache.catalina.connector.Request,setRequestedSessionCookie,1
org.apache.catalina.connector.Request,setRequestedSessionSSL,1
org.apache.catalina.connector.Request,setRequestedSessionURL,1
org.apache.catalina.connector.Request,setSecure,1
org.apache.catalina.connector.Request,createInputStream,1
org.apache.catalina.connector.Request,getAsyncContext,1
org.apache.catalina.connector.Request,getAsyncContextInternal,1
org.apache.catalina.connector.Request,getConnector,1
org.apache.catalina.connector.Request,getCookies,1
org.apache.catalina.connector.Request,getCoyoteRequest,1
org.apache.catalina.connector.Request,getParameterMap,1
org.apache.catalina.connector.Request,getParts,1
