class,method,field,count
org.apache.cassandra.cql3.Cql_Parser,collectionLiteral,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,collection_type,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,columnCondition,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,columnMask,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,comparatorType,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,constant,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,containsOperator,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,cqlStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,createAggregateStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,createIndexStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,createKeyspaceStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,createMaterializedViewStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,createRoleStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,createTableStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,createTriggerStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,createTypeStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,dataResource,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,deleteOp,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,deleteStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,describeStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,dropAggregateStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,dropFunctionStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,dropIndexStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,dropKeyspaceStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,dropMaterializedViewStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,dropRoleStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,dropTableStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,dropTriggerStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,dropTypeStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,fident,NOVALUE,1
