class,method,field,count
org.apache.phoenix.coprocessor.MetaDataRegionObserver$BuildIndexScheduleTask,run,NOVALUE,1
org.apache.phoenix.coprocessor.PhoenixAccessController,getAccessControllers,hbaseAccessControllerEnabled,1
org.apache.phoenix.coprocessor.PhoenixAccessController,start,accessCheckEnabled,1
org.apache.phoenix.coprocessor.PhoenixAccessController,start,execPermissionsCheckEnabled,1
org.apache.phoenix.coprocessor.PhoenixAccessController,authString,NOVALUE,1
org.apache.phoenix.coprocessor.PhoenixMetaDataCoprocessorHost,checkAndGetInstance,NOVALUE,1
org.apache.phoenix.coprocessor.ScanRegionObserver,NOVALUE,DYN_COLS_METADATA_CELL_QUALIFIER,1
org.apache.phoenix.coprocessor.SequenceRegionObserver,preAppend,NOVALUE,1
org.apache.phoenix.coprocessor.SuffixFilter,toByteArray,suffix,1
org.apache.phoenix.coprocessor.SuffixFilter,&lt;init&gt;,suffix,1
org.apache.phoenix.coprocessor.TableInfo,getSchemaName,schema,1
org.apache.phoenix.coprocessor.TableInfo,getTableName,name,1
org.apache.phoenix.coprocessor.TableInfo,getTenantId,tenantId,1
org.apache.phoenix.coprocessor.TableInfo,&lt;init&gt;,name,1
org.apache.phoenix.coprocessor.TableInfo,&lt;init&gt;,schema,1
org.apache.phoenix.coprocessor.TableInfo,&lt;init&gt;,tenantId,1
org.apache.phoenix.coprocessor.TaskRegionObserver,postOpen,NOVALUE,1
org.apache.phoenix.coprocessor.TaskRegionObserver$SelfHealingTask,NOVALUE,accessCheckEnabled,1
org.apache.phoenix.coprocessor.UngroupedAggregateRegionObserver,doPostScannerOpen,NOVALUE,1
org.apache.phoenix.coprocessor.UngroupedAggregateRegionObserver$MutationList,equals,NOVALUE,1
org.apache.phoenix.coprocessor.WhereConstantParser,getConnectionlessConnection,NOVALUE,1
org.apache.phoenix.coprocessor.generated.ChildLinkMetaDataProtos$CreateViewAddChildLinkRequest,getTableMetadataMutationsList,tableMetadataMutations_,1
org.apache.phoenix.coprocessor.generated.ChildLinkMetaDataProtos$CreateViewAddChildLinkRequest,NOVALUE,PARSER,1
org.apache.phoenix.coprocessor.generated.ChildLinkMetaDataProtos$CreateViewAddChildLinkRequest,&lt;init&gt;,NOVALUE,1
org.apache.phoenix.coprocessor.generated.ChildLinkMetaDataProtos$CreateViewAddChildLinkRequest$Builder,clone,NOVALUE,1
org.apache.phoenix.coprocessor.generated.ChildLinkMetaDataProtos$CreateViewAddChildLinkRequest$Builder,maybeForceBuilderInitialization,NOVALUE,1
org.apache.phoenix.coprocessor.generated.DynamicColumnMetaDataProtos$DynamicColumnMetaData,getDynamicColumnsList,dynamicColumns_,1
org.apache.phoenix.coprocessor.generated.DynamicColumnMetaDataProtos$DynamicColumnMetaData,getDynamicColumnsOrBuilderList,dynamicColumns_,1
org.apache.phoenix.coprocessor.generated.DynamicColumnMetaDataProtos$DynamicColumnMetaData,NOVALUE,PARSER,1
org.apache.phoenix.coprocessor.generated.DynamicColumnMetaDataProtos$DynamicColumnMetaData,&lt;init&gt;,NOVALUE,1
org.apache.phoenix.coprocessor.generated.DynamicColumnMetaDataProtos$DynamicColumnMetaData$Builder,clone,NOVALUE,1
org.apache.phoenix.coprocessor.generated.MetaDataProtos$AddColumnRequest,getTableMetadataMutationsList,tableMetadataMutations_,1
org.apache.phoenix.coprocessor.generated.MetaDataProtos$AddColumnRequest,NOVALUE,PARSER,1
