class,method,field,count
org.apache.cassandra.cql3.Cql_Parser$DFA146,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Parser$DFA146,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser$DFA17,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Parser$DFA17,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Parser$DFA173,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Parser$DFA173,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Parser$DFA173,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser$DFA175,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Parser$DFA175,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Parser$DFA181,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Parser$DFA181,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Parser$DFA181,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser$DFA182,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Parser$DFA182,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Parser$DFA182,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser$DFA2,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Parser$DFA2,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Parser$DFA200,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Parser$DFA200,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Parser$DFA200,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser$DFA202,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Parser$DFA202,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Parser$DFA202,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser$DFA204,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Parser$DFA204,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Parser$DFA204,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser$DFA206,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Parser$DFA206,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Parser$DFA206,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser$DFA209,&lt;init&gt;,recognizer,1
